Subject,NFC,Ad_Trial,Ad_Real_No,Gender,Age,Education,Nationality_Participant,MarketingExperience,RT,Appreciation,Effectiveness,Humour,Complexity1,Complexity2,Advert_Nationality
1,0.722222222,1,1,Male,18-24,A-Level ,British,Yes,2540,5,4,2,Complex,Metaphtonymy,Chinese
1,0.722222222,2,2,Male,18-24,A-Level ,British,Yes,3994,5,5,1,Complex,Metaphtonymy,Chinese
1,0.722222222,3,3,Male,18-24,A-Level ,British,Yes,13138,2,2,2,Complex,Metaphtonymy,Chinese
1,0.722222222,4,4,Male,18-24,A-Level ,British,Yes,9596,4,4,1,Complex,Metaphtonymy,Chinese
1,0.722222222,5,5,Male,18-24,A-Level ,British,Yes,3659,5,5,2,Complex,Metaphtonymy,Chinese
1,0.722222222,6,6,Male,18-24,A-Level ,British,Yes,6206,3,3,2,Simple,Metaphor,Chinese
1,0.722222222,7,7,Male,18-24,A-Level ,British,Yes,3105,4,4,2,Simple,Metonymy,Chinese
1,0.722222222,8,8,Male,18-24,A-Level ,British,Yes,10227,2,2,1,Complex,Metonymic chain,Chinese
1,0.722222222,9,11,Male,18-24,A-Level ,British,Yes,15931,2,2,1,Complex,Metaphoric complex,Chinese
1,0.722222222,10,13,Male,18-24,A-Level ,British,Yes,4409,4,4,2,Complex,Metaphoric complex,Chinese
1,0.722222222,11,16,Male,18-24,A-Level ,British,Yes,3637,2,2,1,Simple,Metonymy,Spanish
1,0.722222222,12,20,Male,18-24,A-Level ,British,Yes,9013,2,1,1,Complex,Metaphtonymy,Spanish
1,0.722222222,13,21,Male,18-24,A-Level ,British,Yes,3210,5,5,2,Simple,Metaphor,Spanish
1,0.722222222,14,22,Male,18-24,A-Level ,British,Yes,13520,3,2,1,Complex,Metaphtonymy,Spanish
1,0.722222222,15,23,Male,18-24,A-Level ,British,Yes,7291,2,2,1,Complex,Metaphtonymy,Spanish
1,0.722222222,16,24,Male,18-24,A-Level ,British,Yes,28230,1,1,1,Complex,Metaphtonymy,Spanish
1,0.722222222,17,25,Male,18-24,A-Level ,British,Yes,6019,4,4,1,Simple,Metaphor,Spanish
1,0.722222222,18,26,Male,18-24,A-Level ,British,Yes,4509,4,3,1,Complex,Metonymic chain,Spanish
1,0.722222222,19,27,Male,18-24,A-Level ,British,Yes,15453,3,3,1,Simple,Metonymy,Spanish
1,0.722222222,20,28,Male,18-24,A-Level ,British,Yes,5827,3,3,1,Simple,Metaphor,Spanish
1,0.722222222,21,29,Male,18-24,A-Level ,British,Yes,8065,5,5,3,Simple,Metonymy,British
1,0.722222222,22,30,Male,18-24,A-Level ,British,Yes,7182,4,3,1,Simple,Metaphor,British
1,0.722222222,23,33,Male,18-24,A-Level ,British,Yes,13142,2,1,1,Complex,Metaphtonymy,British
1,0.722222222,24,36,Male,18-24,A-Level ,British,Yes,20523,2,1,1,Complex,Metaphtonymy,British
1,0.722222222,25,37,Male,18-24,A-Level ,British,Yes,5770,3,5,1,Complex,Metaphtonymy,British
1,0.722222222,26,38,Male,18-24,A-Level ,British,Yes,7462,3,3,1,Simple,Metaphor,British
1,0.722222222,27,39,Male,18-24,A-Level ,British,Yes,6960,2,3,1,Simple,Metonymy,British
1,0.722222222,28,40,Male,18-24,A-Level ,British,Yes,21228,3,1,1,Simple,Metaphor,British
1,0.722222222,29,41,Male,18-24,A-Level ,British,Yes,10298,2,2,1,Complex,Metaphtonymy,British
1,0.722222222,30,42,Male,18-24,A-Level ,British,Yes,3019,4,4,2,Complex,Metaphtonymy,British
2,0.5,1,1,Female,18-24,A-Level ,British,Yes,9249,1,4,1,Complex,Metaphtonymy,Chinese
2,0.5,2,2,Female,18-24,A-Level ,British,Yes,3726,3,5,2,Complex,Metaphtonymy,Chinese
2,0.5,3,3,Female,18-24,A-Level ,British,Yes,10184,5,5,3,Complex,Metaphtonymy,Chinese
2,0.5,4,4,Female,18-24,A-Level ,British,Yes,8688,4,5,2,Complex,Metaphtonymy,Chinese
2,0.5,5,5,Female,18-24,A-Level ,British,Yes,8409,4,5,2,Complex,Metaphtonymy,Chinese
2,0.5,6,6,Female,18-24,A-Level ,British,Yes,11064,2,1,1,Simple,Metaphor,Chinese
2,0.5,7,7,Female,18-24,A-Level ,British,Yes,8214,2,2,1,Simple,Metonymy,Chinese
2,0.5,8,8,Female,18-24,A-Level ,British,Yes,8853,2,4,1,Complex,Metonymic chain,Chinese
2,0.5,9,11,Female,18-24,A-Level ,British,Yes,10181,2,3,1,Complex,Metaphoric complex,Chinese
2,0.5,10,13,Female,18-24,A-Level ,British,Yes,18644,2,2,1,Complex,Metaphoric complex,Chinese
2,0.5,11,16,Female,18-24,A-Level ,British,Yes,8128,4,2,1,Simple,Metonymy,Spanish
2,0.5,12,20,Female,18-24,A-Level ,British,Yes,15401,3,1,1,Complex,Metaphtonymy,Spanish
2,0.5,13,21,Female,18-24,A-Level ,British,Yes,8040,2,3,1,Simple,Metaphor,Spanish
2,0.5,14,22,Female,18-24,A-Level ,British,Yes,9067,4,4,1,Complex,Metaphtonymy,Spanish
2,0.5,15,23,Female,18-24,A-Level ,British,Yes,8049,4,5,1,Complex,Metaphtonymy,Spanish
2,0.5,16,24,Female,18-24,A-Level ,British,Yes,12235,2,3,1,Complex,Metaphtonymy,Spanish
2,0.5,17,25,Female,18-24,A-Level ,British,Yes,11263,2,4,1,Simple,Metaphor,Spanish
2,0.5,18,26,Female,18-24,A-Level ,British,Yes,7418,3,2,1,Complex,Metonymic chain,Spanish
2,0.5,19,27,Female,18-24,A-Level ,British,Yes,19088,5,3,1,Simple,Metonymy,Spanish
2,0.5,20,28,Female,18-24,A-Level ,British,Yes,7784,2,5,2,Simple,Metaphor,Spanish
2,0.5,21,29,Female,18-24,A-Level ,British,Yes,9610,4,5,3,Simple,Metonymy,British
2,0.5,22,30,Female,18-24,A-Level ,British,Yes,8304,4,4,2,Simple,Metaphor,British
2,0.5,23,33,Female,18-24,A-Level ,British,Yes,3478,5,5,2,Complex,Metaphtonymy,British
2,0.5,24,36,Female,18-24,A-Level ,British,Yes,8961,2,3,1,Complex,Metaphtonymy,British
2,0.5,25,37,Female,18-24,A-Level ,British,Yes,9960,4,5,1,Complex,Metaphtonymy,British
2,0.5,26,38,Female,18-24,A-Level ,British,Yes,16734,3,2,1,Simple,Metaphor,British
2,0.5,27,39,Female,18-24,A-Level ,British,Yes,28908,3,1,1,Simple,Metonymy,British
2,0.5,28,40,Female,18-24,A-Level ,British,Yes,14415,3,1,1,Simple,Metaphor,British
2,0.5,29,41,Female,18-24,A-Level ,British,Yes,7570,5,5,3,Complex,Metaphtonymy,British
2,0.5,30,42,Female,18-24,A-Level ,British,Yes,9026,4,5,1,Complex,Metaphtonymy,British
3,0.333333333,1,1,Female,18-24,A-Level ,British,Yes,3729,4,2,2,Complex,Metaphtonymy,Chinese
3,0.333333333,2,2,Female,18-24,A-Level ,British,Yes,982,3,2,2,Complex,Metaphtonymy,Chinese
3,0.333333333,3,3,Female,18-24,A-Level ,British,Yes,4154,3,3,5,Complex,Metaphtonymy,Chinese
3,0.333333333,4,4,Female,18-24,A-Level ,British,Yes,3448,5,5,3,Complex,Metaphtonymy,Chinese
3,0.333333333,5,5,Female,18-24,A-Level ,British,Yes,6727,2,1,1,Complex,Metaphtonymy,Chinese
3,0.333333333,6,6,Female,18-24,A-Level ,British,Yes,3646,1,2,1,Simple,Metaphor,Chinese
3,0.333333333,7,7,Female,18-24,A-Level ,British,Yes,1445,2,2,1,Simple,Metonymy,Chinese
3,0.333333333,8,8,Female,18-24,A-Level ,British,Yes,2286,2,2,1,Complex,Metonymic chain,Chinese
3,0.333333333,9,11,Female,18-24,A-Level ,British,Yes,3746,4,3,2,Complex,Metaphoric complex,Chinese
3,0.333333333,10,13,Female,18-24,A-Level ,British,Yes,7005,2,2,1,Complex,Metaphoric complex,Chinese
3,0.333333333,11,16,Female,18-24,A-Level ,British,Yes,2371,2,1,1,Simple,Metonymy,Spanish
3,0.333333333,12,20,Female,18-24,A-Level ,British,Yes,8904,1,1,1,Complex,Metaphtonymy,Spanish
3,0.333333333,13,21,Female,18-24,A-Level ,British,Yes,3676,4,2,3,Simple,Metaphor,Spanish
3,0.333333333,14,22,Female,18-24,A-Level ,British,Yes,3730,3,2,1,Complex,Metaphtonymy,Spanish
3,0.333333333,15,23,Female,18-24,A-Level ,British,Yes,8446,2,1,1,Complex,Metaphtonymy,Spanish
3,0.333333333,16,24,Female,18-24,A-Level ,British,Yes,4157,2,1,1,Complex,Metaphtonymy,Spanish
3,0.333333333,17,25,Female,18-24,A-Level ,British,Yes,3697,3,3,1,Simple,Metaphor,Spanish
3,0.333333333,18,26,Female,18-24,A-Level ,British,Yes,1713,3,3,2,Complex,Metonymic chain,Spanish
3,0.333333333,19,27,Female,18-24,A-Level ,British,Yes,10818,1,1,1,Simple,Metonymy,Spanish
3,0.333333333,20,28,Female,18-24,A-Level ,British,Yes,2861,1,1,1,Simple,Metaphor,Spanish
3,0.333333333,21,29,Female,18-24,A-Level ,British,Yes,5378,4,3,2,Simple,Metonymy,British
